Roll (deg),Pitch (deg),Yaw (deg),Altitude Deviation (m),Yaw Angle to Target (deg),Pitch Angle to Target (deg),Velocity X-Axis,Altitude_change,Pitch Rate [deg/s],Yaw Rate [deg/s],Roll Rate [deg/s]
-39.81679,-25.905212,21.553604,-15.954575,12.261241,0.20677714,143.54907,-65.99266,-56.159508,1.672358,-10.517316
-40.678883,-25.99718,21.384775,-16.291077,12.434482,0.21116212,143.80078,-66.49225,-56.820423,1.7685817,-10.232798
-41.55361,-26.08712,21.220194,-16.630127,12.60346,0.2155949,144.05176,-66.99249,-57.46066,1.7932523,-9.927024
-42.44114,-26.175598,21.060984,-16.971725,12.767084,0.22004819,144.30103,-67.4935,-58.081192,1.7432554,-9.599639
-43.34166,-26.263197,20.908287,-17.315872,12.924192,0.22454245,144.54834,-67.9953,-58.682716,1.6232626,-9.251026
-44.255417,-26.350376,20.763254,-17.662567,13.073596,0.22907087,144.79321,-68.49802,-59.265793,1.4388202,-8.881622
-45.182587,-26.437483,20.627007,-18.01181,13.21423,0.23363344,145.03418,-69.00128,-59.830925,1.214107,-8.494022
-46.123226,-26.524567,20.500292,-18.363617,13.345342,0.23822333,145.271,-69.50522,-60.378403,0.9585487,-8.089238
-47.07739,-26.611542,20.383741,-18.717987,13.46625,0.24286102,145.50366,-70.009796,-60.908344,0.67733616,-7.667925
-48.045025,-26.69823,20.27793,-19.07492,13.576434,0.24751239,145.73193,-70.515076,-61.42091,0.3754145,-7.230738
-49.02611,-26.784388,20.183317,-19.434418,13.675377,0.25221154,145.95605,-71.020966,-61.91618,0.057838038,-6.7783885
-50.02056,-26.869682,20.10033,-19.796494,13.762762,0.25695854,146.1753,-71.527466,-62.394184,-0.26940995,-6.3116956
-51.028244,-26.953735,20.029215,-20.161133,13.838208,0.26171917,146.3899,-72.034454,-62.260723,-0.601685,-5.8359866
-52.03907,-27.036121,19.970133,-20.528366,13.901633,0.26652762,146.59985,-72.54204,-61.51757,-0.93461573,-5.354868
-53.04292,-27.11643,19.92306,-20.898163,13.953037,0.27135658,146.80518,-73.05014,-60.16817,-1.2682568,-4.872083
-54.029648,-27.194288,19.88794,-21.270554,13.992502,0.2762265,147.00562,-73.55875,-58.209084,-1.6029906,-4.391429
-54.989113,-27.269379,19.864607,-21.645523,14.020137,0.2811374,147.20166,-74.067825,-55.62645,-1.9394184,-3.916922
-55.91082,-27.34147,19.8529,-22.023087,14.036175,0.28607562,147.39282,-74.57736,-52.38949,-2.2785237,-3.4529064
-56.783825,-27.410416,19.8526,-22.403229,14.040778,0.29105484,147.57983,-75.08734,-48.44634,-2.6217816,-3.0040264
-57.596237,-27.476162,19.863405,-22.785965,14.034289,0.29606137,147.76172,-75.59778,-43.725777,-2.971132,-2.5754728
-58.33499,-27.538809,19.885056,-23.17131,14.016927,0.30110204,147.93945,-76.10867,-38.149666,-3.3311377,-2.172683
-58.985714,-27.598614,19.917309,-23.559235,13.988964,0.30619052,148.1128,-76.62007,-31.98591,-3.704667,-1.799263
-59.538578,-27.655933,19.959902,-23.949768,13.950647,0.31130636,148.28198,-77.1319,-25.27159,-4.09631,-1.4592562
-59.984287,-27.711327,20.012672,-24.342896,13.902153,0.31646997,148.44678,-77.644135,-18.103771,-4.509564,-1.156187
-60.315254,-27.765442,20.075497,-24.738632,13.843604,0.32164726,148.60718,-78.15674,-10.675202,-4.948335,-0.89240515
-60.5271,-27.819078,20.148264,-25.136963,13.775098,0.32687235,148.76318,-78.66968,-3.2619069,-5.4164762,-0.6686755
-60.6201,-27.873133,20.231005,-25.537918,13.696619,0.33212477,148.91553,-79.18283,3.8146057,-5.917375,-0.4840418
-60.599934,-27.928553,20.32376,-25.941467,13.608127,0.337425,149.06348,-79.696106,10.246676,-6.453299,-0.33596334
-60.477386,-27.986322,20.42665,-26.347626,13.509499,0.3427457,149.20703,-80.20935,15.80279,-7.024904,-0.22072437
-60.267197,-28.047398,20.53988,-26.756393,13.400502,0.34812108,149.34692,-80.72244,20.37101,-7.6308236,-0.13419954
-59.985916,-28.112682,20.663603,-27.16777,13.281015,0.3535169,149.48242,-81.235275,23.964483,-8.267725,-0.07229072
-59.64991,-28.182991,20.797993,-27.581741,13.150832,0.35894692,149.61426,-81.7478,26.68962,-8.930663,-0.03150083
-59.273743,-28.259066,20.943203,-27.998322,13.009871,0.36441788,149.74243,-82.25995,28.697502,-9.613682,-0.0089885285
-58.86941,-28.341541,21.099218,-28.417511,12.858076,0.3699162,149.86694,-82.77176,30.14236,-10.310252,-0.0025135095
-58.44635,-28.430948,21.266012,-28.83928,12.695491,0.37546915,149.9878,-83.28319,31.15812,-11.013926,-0.010354566
-58.01165,-28.527739,21.443445,-29.263657,12.522249,0.38103575,150.10547,-83.79428,31.851246,-11.7185,-0.031172981
-57.570663,-28.632275,21.631304,-29.690643,12.338586,0.38664332,150.21997,-84.305084,32.302258,-12.418185,-0.06390325
-57.127342,-28.74483,21.829296,-30.120209,12.144786,0.3922919,150.33154,-84.81558,32.570465,-13.106859,-0.10775306
-56.684597,-28.8656,22.037031,-30.552368,11.941233,0.3979746,150.44043,-85.325836,32.699036,-13.77966,-0.16206671
-56.2446,-28.994719,22.254053,-30.987106,11.728404,0.40368465,150.54688,-85.835846,32.71931,-14.432407,-0.22616121
-55.808968,-29.132252,22.479845,-31.424454,11.506737,0.40943566,150.65137,-86.34567,32.65382,-15.061304,-0.29954475
-55.378937,-29.278206,22.713888,-31.86438,11.27686,0.41522768,150.7539,-86.855316,32.518337,-15.662989,-0.38169828
-54.95544,-29.432528,22.95554,-32.3069,11.039374,0.42104015,150.85498,-87.36481,32.32398,-16.234566,-0.4721573
-54.539223,-29.59512,23.20424,-32.752014,10.794813,0.42691413,150.95459,-87.87416,32.07798,-16.773497,-0.57045734
-54.13087,-29.765833,23.45928,-33.199707,10.54394,0.43278807,151.05347,-88.38339,31.784912,-17.277645,-0.6761887
-53.730923,-29.94447,23.720003,-33.649994,10.287316,0.4387235,151.15186,-88.89252,31.447063,-17.745241,-0.7888868
-53.339813,-30.130812,23.985723,-34.102844,10.025706,0.44468626,151.24976,-89.40155,31.065119,-18.174831,-0.90808725
-52.958004,-30.324583,24.255749,-34.558304,9.759807,0.45068318,151.34766,-89.91046,30.638287,-18.565273,-1.0332983
-52.585938,-30.525486,24.52938,-35.016342,9.490274,0.45671424,151.4458,-90.41928,30.1646,-18.915716,-1.1640828
-52.224087,-30.73318,24.805922,-35.47696,9.217832,0.46278626,151.54468,-90.92799,29.64119,-19.225561,-1.2998396
-51.872974,-30.947319,25.084688,-35.94017,8.943176,0.46889246,151.64453,-91.436584,29.064257,-19.494452,-1.4400496
-51.53316,-31.167498,25.364958,-36.40596,8.666923,0.4750328,151.7456,-91.94507,28.429104,-19.722143,-1.584112
-51.205338,-31.39333,25.64613,-36.87433,8.389849,0.48120728,151.84839,-92.453415,27.73013,-19.908607,-1.7313709
-50.89022,-31.624355,25.927492,-37.34529,8.11253,0.4874091,151.95288,-92.96161,26.903704,-20.053816,-1.8807608
-50.589653,-31.860132,26.208487,-37.818817,7.835565,0.4936519,152.05981,-93.469635,25.942833,-20.157854,-2.0311615
-50.305557,-32.100166,26.48847,-38.294937,7.5596395,0.4999425,152.16895,-93.97748,24.829758,-20.220282,-2.1814258
-50.04016,-32.34393,26.766853,-38.773636,7.2852707,0.5062536,152.28076,-94.48508,23.544207,-20.240555,-2.330242
-49.796078,-32.59084,27.043121,-39.254913,7.0130057,0.51260567,152.39575,-94.99246,22.061619,-20.217823,-2.47608
-49.576283,-32.840305,27.31678,-39.738754,6.743377,0.51899874,152.51392,-95.49954,20.35257,-20.150942,-2.617301
